,region,age,2020
289,05 Östergötland county,50 years,410.4
290,05 Östergötland county,51 years,413.4
291,05 Östergötland county,52 years,414.0
292,05 Östergötland county,53 years,416.0
293,05 Östergötland county,54 years,407.7
294,05 Östergötland county,55 years,407.6
295,05 Östergötland county,56 years,404.0
296,05 Östergötland county,57 years,399.2
297,05 Östergötland county,58 years,391.9
298,05 Östergötland county,59 years,386.4
299,05 Östergötland county,60 years,378.4
300,05 Östergötland county,61 years,371.4
301,05 Östergötland county,62 years,368.7
302,05 Östergötland county,63 years,360.8
303,05 Östergötland county,64 years,352.8
304,05 Östergötland county,65 years,352.8
305,05 Östergötland county,66 years,339.6
306,05 Östergötland county,67 years,328.4
307,05 Östergötland county,68 years,324.0
308,05 Östergötland county,69 years,308.8
309,05 Östergötland county,70 years,283.3
310,05 Östergötland county,71 years,268.4
311,05 Östergötland county,72 years,261.1
312,05 Östergötland county,73 years,249.3
313,05 Östergötland county,74 years,247.4
314,05 Östergötland county,75 years,240.3
315,05 Östergötland county,76 years,232.4
316,05 Östergötland county,77 years,232.3
317,05 Östergötland county,78 years,233.1
318,05 Östergötland county,79 years,223.1
319,05 Östergötland county,80 years,218.1
320,05 Östergötland county,81 years,219.4
321,05 Östergötland county,82 years,213.2
322,05 Östergötland county,83 years,219.3
323,05 Östergötland county,84 years,210.5
324,05 Östergötland county,85 years,209.8
325,05 Östergötland county,86 years,202.1
326,05 Östergötland county,87 years,203.9
327,05 Östergötland county,88 years,197.1
328,05 Östergötland county,89 years,200.5
329,05 Östergötland county,90 years,196.6
330,05 Östergötland county,91 years,195.4
331,05 Östergötland county,92 years,197.3
332,05 Östergötland county,93 years,191.1
333,05 Östergötland county,94 years,189.0
334,05 Östergötland county,95 years,199.2
335,05 Östergötland county,96 years,182.0
336,05 Östergötland county,97 years,187.7
337,05 Östergötland county,98 years,177.0
338,05 Östergötland county,99 years,183.2
339,05 Östergötland county,100+ years,172.7
340,06 Jönköping county,16 years,6.1
341,06 Jönköping county,17 years,12.1
342,06 Jönköping county,18 years,27.8
343,06 Jönköping county,19 years,80.2
344,06 Jönköping county,20 years,154.0
345,06 Jönköping county,21 years,161.7
346,06 Jönköping county,22 years,183.9
347,06 Jönköping county,23 years,197.8
348,06 Jönköping county,24 years,220.9
349,06 Jönköping county,25 years,239.3
350,06 Jönköping county,26 years,257.2
351,06 Jönköping county,27 years,269.6
352,06 Jönköping county,28 years,284.3
353,06 Jönköping county,29 years,290.3
354,06 Jönköping county,30 years,298.6
355,06 Jönköping county,31 years,302.3
356,06 Jönköping county,32 years,311.8
357,06 Jönköping county,33 years,313.8
358,06 Jönköping county,34 years,322.2
359,06 Jönköping county,35 years,328.7
360,06 Jönköping county,36 years,338.6
361,06 Jönköping county,37 years,336.7
362,06 Jönköping county,38 years,352.7
363,06 Jönköping county,39 years,360.8
364,06 Jönköping county,40 years,369.4
365,06 Jönköping county,41 years,370.5
366,06 Jönköping county,42 years,382.4
367,06 Jönköping county,43 years,383.7
368,06 Jönköping county,44 years,388.2
369,06 Jönköping county,45 years,395.5
370,06 Jönköping county,46 years,398.0
371,06 Jönköping county,47 years,408.5
372,06 Jönköping county,48 years,405.3
373,06 Jönköping county,49 years,406.1
374,06 Jönköping county,50 years,404.1
375,06 Jönköping county,51 years,401.6
376,06 Jönköping county,52 years,405.2
377,06 Jönköping county,53 years,405.6
378,06 Jönköping county,54 years,397.0
379,06 Jönköping county,55 years,391.3
380,06 Jönköping county,56 years,394.4
381,06 Jönköping county,57 years,377.7
382,06 Jönköping county,58 years,378.0
383,06 Jönköping county,59 years,372.4
384,06 Jönköping county,60 years,374.9
385,06 Jönköping county,61 years,358.0
386,06 Jönköping county,62 years,368.6
387,06 Jönköping county,63 years,358.2
388,06 Jönköping county,64 years,352.3
389,06 Jönköping county,65 years,349.7
390,06 Jönköping county,66 years,337.9
391,06 Jönköping county,67 years,325.1
392,06 Jönköping county,68 years,313.2
393,06 Jönköping county,69 years,303.4
394,06 Jönköping county,70 years,279.8
395,06 Jönköping county,71 years,265.8
396,06 Jönköping county,72 years,256.6
397,06 Jönköping county,73 years,250.4
398,06 Jönköping county,74 years,247.9
399,06 Jönköping county,75 years,239.2
400,06 Jönköping county,76 years,234.2
401,06 Jönköping county,77 years,231.0
402,06 Jönköping county,78 years,227.6
403,06 Jönköping county,79 years,217.9
404,06 Jönköping county,80 years,209.8
405,06 Jönköping county,81 years,209.4
406,06 Jönköping county,82 years,206.1
407,06 Jönköping county,83 years,210.2
408,06 Jönköping county,84 years,205.6
409,06 Jönköping county,85 years,198.5
410,06 Jönköping county,86 years,193.9
411,06 Jönköping county,87 years,194.0
412,06 Jönköping county,88 years,199.4
413,06 Jönköping county,89 years,194.0
414,06 Jönköping county,90 years,189.2
415,06 Jönköping county,91 years,188.7
416,06 Jönköping county,92 years,188.5
417,06 Jönköping county,93 years,188.6
418,06 Jönköping county,94 years,184.6
419,06 Jönköping county,95 years,183.6
420,06 Jönköping county,96 years,173.8
421,06 Jönköping county,97 years,182.0
422,06 Jönköping county,98 years,164.4
423,06 Jönköping county,99 years,175.9
424,06 Jönköping county,100+ years,193.1
425,07 Kronoberg county,16 years,4.9
426,07 Kronoberg county,17 years,10.0
427,07 Kronoberg county,18 years,23.7
428,07 Kronoberg county,19 years,67.8
429,07 Kronoberg county,20 years,134.2
430,07 Kronoberg county,21 years,145.2
431,07 Kronoberg county,22 years,161.0
432,07 Kronoberg county,23 years,180.0
433,07 Kronoberg county,24 years,196.9
434,07 Kronoberg county,25 years,225.6
435,07 Kronoberg county,26 years,247.1
436,07 Kronoberg county,27 years,255.8
437,07 Kronoberg county,28 years,269.0
438,07 Kronoberg county,29 years,279.4
439,07 Kronoberg county,30 years,287.3
440,07 Kronoberg county,31 years,293.9
441,07 Kronoberg county,32 years,295.9
442,07 Kronoberg county,33 years,311.7
443,07 Kronoberg county,34 years,313.3
444,07 Kronoberg county,35 years,322.4
445,07 Kronoberg county,36 years,323.9
446,07 Kronoberg county,37 years,329.3
447,07 Kronoberg county,38 years,349.1
448,07 Kronoberg county,39 years,351.7
449,07 Kronoberg county,40 years,357.3
450,07 Kronoberg county,41 years,375.7
451,07 Kronoberg county,42 years,380.9
452,07 Kronoberg county,43 years,388.2
453,07 Kronoberg county,44 years,397.4
454,07 Kronoberg county,45 years,399.0
455,07 Kronoberg county,46 years,401.2
456,07 Kronoberg county,47 years,398.5
457,07 Kronoberg county,48 years,404.3
458,07 Kronoberg county,49 years,390.8
459,07 Kronoberg county,50 years,396.9
460,07 Kronoberg county,51 years,399.8
461,07 Kronoberg county,52 years,396.8
462,07 Kronoberg county,53 years,391.1
463,07 Kronoberg county,54 years,403.4
464,07 Kronoberg county,55 years,397.1
465,07 Kronoberg county,56 years,382.6
466,07 Kronoberg county,57 years,376.1
467,07 Kronoberg county,58 years,373.6
468,07 Kronoberg county,59 years,373.5
469,07 Kronoberg county,60 years,369.0
470,07 Kronoberg county,61 years,351.0
471,07 Kronoberg county,62 years,355.7
472,07 Kronoberg county,63 years,352.9
473,07 Kronoberg county,64 years,345.0
474,07 Kronoberg county,65 years,338.6
475,07 Kronoberg county,66 years,340.6
476,07 Kronoberg county,67 years,319.6
477,07 Kronoberg county,68 years,306.3
478,07 Kronoberg county,69 years,310.9
479,07 Kronoberg county,70 years,282.1
480,07 Kronoberg county,71 years,265.9
481,07 Kronoberg county,72 years,256.5
482,07 Kronoberg county,73 years,249.7
483,07 Kronoberg county,74 years,242.7
484,07 Kronoberg county,75 years,237.3
485,07 Kronoberg county,76 years,226.9
486,07 Kronoberg county,77 years,228.3
487,07 Kronoberg county,78 years,223.9
488,07 Kronoberg county,79 years,218.0
489,07 Kronoberg county,80 years,214.9
490,07 Kronoberg county,81 years,204.3
491,07 Kronoberg county,82 years,204.1
492,07 Kronoberg county,83 years,204.6
493,07 Kronoberg county,84 years,204.8
494,07 Kronoberg county,85 years,198.7
495,07 Kronoberg county,86 years,198.6
496,07 Kronoberg county,87 years,194.4
497,07 Kronoberg county,88 years,192.6
498,07 Kronoberg county,89 years,191.1
499,07 Kronoberg county,90 years,188.2
500,07 Kronoberg county,91 years,190.9
501,07 Kronoberg county,92 years,185.4
502,07 Kronoberg county,93 years,184.3
503,07 Kronoberg county,94 years,187.0
504,07 Kronoberg county,95 years,194.3
505,07 Kronoberg county,96 years,181.4
506,07 Kronoberg county,97 years,169.4
507,07 Kronoberg county,98 years,171.5
508,07 Kronoberg county,99 years,162.6
509,07 Kronoberg county,100+ years,175.5
510,08 Kalmar county,16 years,5.8
511,08 Kalmar county,17 years,11.9
512,08 Kalmar county,18 years,24.6
513,08 Kalmar county,19 years,74.7
514,08 Kalmar county,20 years,139.4
515,08 Kalmar county,21 years,153.3
516,08 Kalmar county,22 years,176.0
517,08 Kalmar county,23 years,196.3
518,08 Kalmar county,24 years,213.7
519,08 Kalmar county,25 years,239.8
520,08 Kalmar county,26 years,246.7
521,08 Kalmar county,27 years,265.0
522,08 Kalmar county,28 years,272.1
523,08 Kalmar county,29 years,276.2
524,08 Kalmar county,30 years,286.6
525,08 Kalmar county,31 years,293.0
526,08 Kalmar county,32 years,297.7
527,08 Kalmar county,33 years,304.3
528,08 Kalmar county,34 years,312.8
529,08 Kalmar county,35 years,316.5
530,08 Kalmar county,36 years,320.9
531,08 Kalmar county,37 years,333.2
532,08 Kalmar county,38 years,345.2
533,08 Kalmar county,39 years,346.9
534,08 Kalmar county,40 years,351.6
535,08 Kalmar county,41 years,361.8
536,08 Kalmar county,42 years,366.0
537,08 Kalmar county,43 years,366.7
538,08 Kalmar county,44 years,371.6
539,08 Kalmar county,45 years,378.3
540,08 Kalmar county,46 years,381.3
541,08 Kalmar county,47 years,386.8
542,08 Kalmar county,48 years,383.4
543,08 Kalmar county,49 years,386.4
544,08 Kalmar county,50 years,386.9
545,08 Kalmar county,51 years,385.2
546,08 Kalmar county,52 years,381.0
547,08 Kalmar county,53 years,385.5
548,08 Kalmar county,54 years,379.4
549,08 Kalmar county,55 years,376.3
550,08 Kalmar county,56 years,369.7
551,08 Kalmar county,57 years,371.1
552,08 Kalmar county,58 years,361.9
553,08 Kalmar county,59 years,361.2
554,08 Kalmar county,60 years,362.7
555,08 Kalmar county,61 years,352.9
556,08 Kalmar county,62 years,356.4
557,08 Kalmar county,63 years,341.2
558,08 Kalmar county,64 years,338.4
559,08 Kalmar county,65 years,341.9
560,08 Kalmar county,66 years,329.0
561,08 Kalmar county,67 years,316.9
562,08 Kalmar county,68 years,303.5
563,08 Kalmar county,69 years,289.3
564,08 Kalmar county,70 years,272.4
565,08 Kalmar county,71 years,257.6
566,08 Kalmar county,72 years,248.4
567,08 Kalmar county,73 years,239.5
568,08 Kalmar county,74 years,246.2
569,08 Kalmar county,75 years,228.7
570,08 Kalmar county,76 years,225.2
571,08 Kalmar county,77 years,218.2
572,08 Kalmar county,78 years,223.3
573,08 Kalmar county,79 years,213.5
574,08 Kalmar county,80 years,206.9
575,08 Kalmar county,81 years,204.0
576,08 Kalmar county,82 years,211.3
577,08 Kalmar county,83 years,207.1
578,08 Kalmar county,84 years,202.4
579,08 Kalmar county,85 years,202.5
580,08 Kalmar county,86 years,195.5
581,08 Kalmar county,87 years,195.9
582,08 Kalmar county,88 years,194.2
583,08 Kalmar county,89 years,195.3
584,08 Kalmar county,90 years,188.7
585,08 Kalmar county,91 years,193.3
586,08 Kalmar county,92 years,192.3
587,08 Kalmar county,93 years,194.6
588,08 Kalmar county,94 years,174.6
589,08 Kalmar county,95 years,183.8
590,08 Kalmar county,96 years,167.2
591,08 Kalmar county,97 years,195.6
592,08 Kalmar county,98 years,168.1
593,08 Kalmar county,99 years,177.3
594,08 Kalmar county,100+ years,150.4
595,09 Gotland county,16 years,9.6
596,09 Gotland county,17 years,14.2
597,09 Gotland county,18 years,28.1
598,09 Gotland county,19 years,70.8
599,09 Gotland county,20 years,131.2
600,09 Gotland county,21 years,146.7
601,09 Gotland county,22 years,161.2
602,09 Gotland county,23 years,167.4
603,09 Gotland county,24 years,186.7
604,09 Gotland county,25 years,211.2
605,09 Gotland county,26 years,220.8
606,09 Gotland county,27 years,237.3
607,09 Gotland county,28 years,250.6
608,09 Gotland county,29 years,264.9
609,09 Gotland county,30 years,267.2
610,09 Gotland county,31 years,273.6
611,09 Gotland county,32 years,292.4
612,09 Gotland county,33 years,296.9
613,09 Gotland county,34 years,289.4
614,09 Gotland county,35 years,303.0
615,09 Gotland county,36 years,327.4
616,09 Gotland county,37 years,326.8
617,09 Gotland county,38 years,322.8
618,09 Gotland county,39 years,332.3
619,09 Gotland county,40 years,352.0
620,09 Gotland county,41 years,347.4
621,09 Gotland county,42 years,357.0
622,09 Gotland county,43 years,358.0
623,09 Gotland county,44 years,362.7
624,09 Gotland county,45 years,362.6
625,09 Gotland county,46 years,368.7
626,09 Gotland county,47 years,388.6
627,09 Gotland county,48 years,379.0
628,09 Gotland county,49 years,367.8
629,09 Gotland county,50 years,368.0
630,09 Gotland county,51 years,357.8
631,09 Gotland county,52 years,363.2
632,09 Gotland county,53 years,360.1
633,09 Gotland county,54 years,367.3
634,09 Gotland county,55 years,353.8
635,09 Gotland county,56 years,360.2
636,09 Gotland county,57 years,344.0
637,09 Gotland county,58 years,340.8
638,09 Gotland county,59 years,335.4
639,09 Gotland county,60 years,347.3
640,09 Gotland county,61 years,332.7
641,09 Gotland county,62 years,332.9
642,09 Gotland county,63 years,339.5
643,09 Gotland county,64 years,339.3
644,09 Gotland county,65 years,337.9
645,09 Gotland county,66 years,336.3
646,09 Gotland county,67 years,330.2
647,09 Gotland county,68 years,299.2
648,09 Gotland county,69 years,291.4
649,09 Gotland county,70 years,268.5
650,09 Gotland county,71 years,262.2
651,09 Gotland county,72 years,247.4
652,09 Gotland county,73 years,249.4
653,09 Gotland county,74 years,236.6
654,09 Gotland county,75 years,229.8
655,09 Gotland county,76 years,238.2
656,09 Gotland county,77 years,226.8
657,09 Gotland county,78 years,224.2
658,09 Gotland county,79 years,204.9
659,09 Gotland county,80 years,205.5
660,09 Gotland county,81 years,209.0
661,09 Gotland county,82 years,194.5
662,09 Gotland county,83 years,211.2
663,09 Gotland county,84 years,206.2
664,09 Gotland county,85 years,194.5
665,09 Gotland county,86 years,187.6
666,09 Gotland county,87 years,188.5
667,09 Gotland county,88 years,196.6
668,09 Gotland county,89 years,194.9
669,09 Gotland county,90 years,188.7
670,09 Gotland county,91 years,182.3
671,09 Gotland county,92 years,177.7
672,09 Gotland county,93 years,191.1
673,09 Gotland county,94 years,183.4
674,09 Gotland county,95 years,186.0
675,09 Gotland county,96 years,191.9
676,09 Gotland county,97 years,185.0
677,09 Gotland county,98 years,194.5
678,09 Gotland county,99 years,170.9
679,09 Gotland county,100+ years,196.7
680,10 Blekinge county,16 years,5.7
681,10 Blekinge county,17 years,11.0
682,10 Blekinge county,18 years,21.9
683,10 Blekinge county,19 years,60.7
684,10 Blekinge county,20 years,120.8
685,10 Blekinge county,21 years,143.1
686,10 Blekinge county,22 years,157.1
687,10 Blekinge county,23 years,180.5
688,10 Blekinge county,24 years,199.8
689,10 Blekinge county,25 years,226.4
690,10 Blekinge county,26 years,238.3
691,10 Blekinge county,27 years,258.3
692,10 Blekinge county,28 years,272.5
693,10 Blekinge county,29 years,283.4
694,10 Blekinge county,30 years,286.8
695,10 Blekinge county,31 years,291.1
696,10 Blekinge county,32 years,294.7
697,10 Blekinge county,33 years,295.3
698,10 Blekinge county,34 years,309.7
699,10 Blekinge county,35 years,311.5
700,10 Blekinge county,36 years,321.2
701,10 Blekinge county,37 years,331.0
702,10 Blekinge county,38 years,343.5
703,10 Blekinge county,39 years,349.9
